,0
730,132.7235565185547
731,75.04561614990234
732,81.63154602050781
733,107.88716125488281
734,62.06999969482422
735,123.71156311035156
736,70.6689682006836
737,66.63462829589844
738,105.6085433959961
739,81.31199645996094
740,97.55612182617188
741,45.57421875
742,105.62513732910156
743,140.61947631835938
744,37.274539947509766
745,65.11424255371094
746,63.16287612915039
747,63.649627685546875
748,117.34680938720703
749,99.58379364013672
750,65.5655746459961
751,75.51927947998047
752,58.18024444580078
753,69.3375473022461
754,111.79405975341797
755,50.38395690917969
756,115.2202377319336
757,68.69644165039062
758,63.06807327270508
759,111.43815612792969
760,57.783329010009766
761,49.818275451660156
762,119.66915130615234
763,60.610694885253906
764,52.19984436035156
765,63.3111686706543
766,116.69673919677734
767,127.20040893554688
768,52.74550247192383
769,47.26274871826172
770,82.67578125
771,118.48744201660156
772,34.17747497558594
773,103.4100570678711
774,72.63106536865234
775,57.27656555175781
776,74.22294616699219
777,117.79066467285156
778,39.6660041809082
779,51.1157112121582
780,60.29324722290039
781,116.84976196289062
782,100.72904205322266
783,49.48809051513672
784,76.04803466796875
785,57.57770538330078
786,71.19013977050781
787,95.539794921875
788,53.95292282104492
789,116.50457000732422
790,52.08155059814453
791,57.61600112915039
792,103.65767669677734
793,62.66143798828125
794,26.627695083618164
795,79.14241027832031
796,114.25324249267578
797,103.5476303100586
798,57.06536102294922
799,54.657936096191406
800,103.23941040039062
801,45.464656829833984
802,98.97632598876953
803,23.279123306274414
804,59.245296478271484
805,57.593204498291016
806,131.70272827148438
807,14.830244064331055
808,37.90888977050781
809,64.10578155517578
810,135.81658935546875
811,128.9510040283203
812,47.98423385620117
813,103.03301239013672
814,84.93755340576172
815,26.393404006958008
816,28.078773498535156
817,87.16877746582031
818,162.75439453125
819,8.944650650024414
820,51.41438674926758
821,62.83683776855469
822,150.72772216796875
823,113.92881774902344
824,76.01310729980469
825,112.270263671875
826,34.31515121459961
827,321.9874267578125
828,44.555694580078125
829,61.600711822509766
830,133.76614379882812
831,27.695240020751953
832,46.44921875
833,112.75414276123047
834,101.20646667480469
835,111.22128295898438
836,63.69219207763672
837,80.57443237304688
838,77.44293212890625
839,39.31046676635742
840,88.96292877197266
841,57.00899124145508
842,87.53478240966797
843,24.833126068115234
844,43.40109634399414
845,61.28982162475586
846,115.14398193359375
847,11.727200508117676
848,55.222633361816406
849,54.76888656616211
850,99.43972778320312
851,135.03750610351562
852,75.90495300292969
853,49.47229766845703
854,70.56298828125
855,159.1844024658203
856,117.00099182128906
857,40.858863830566406
858,55.448333740234375
859,36.67841339111328
860,54.25663375854492
861,54.02833938598633
862,95.447265625
863,100.68368530273438
864,95.54689025878906
865,65.19314575195312
866,41.527488708496094
867,62.86524200439453
868,100.90814208984375
869,39.38083267211914
870,54.05482864379883
871,152.12176513671875
872,98.76636505126953
873,45.60870361328125
874,62.014068603515625
875,22.84232521057129
876,90.52394104003906
877,62.59583282470703
878,46.32175064086914
879,61.52189636230469
